name;link;image;description;address;price;horaires;metrostation;hours
Au Clair de Lune;http://www.timeout.fr/paris/bar/au-clair-de-lune;;Entre Château Rouge et Montmartre, au pied de la butte, le Clair de Lune est un bar sans prétention, toujours très animé en soirée, où les habitants du quartier aiment se retrouver à l'heure de l'apéro pour papoter. On profite de la longue happy hour de 18h à 22h, pendant laquelle on sirote des pintes de Stella à 3,5 €, des pintes de Leffe, de bière blanche à 4,70 € ou des cocktails à 5 €. Quelques vieilles affiches d’époque ont échappé à la rénovation du lieu il y a quelques années, tandis que les poufs orange et les tables seventies sont toujours là. On aime le néon rose au-dessus du comptoir à l’ancienne donne bonne mine,  les serveurs adorables qui connaissent tout le monde, la clientèle de bobos et de vieux habitués et les prix plancher. Dans ce coin de la salle, des petits groupes se produisent de temps en temps. Devant, une véranda donnant sur la rue propose des tables hautes et devient un coin fumeur en été, quand elle est entièrement ouverte. Les soirs de match, un écran attire une foule plus masculine qu’à l’ordinaire. Quand les télés sont éteintes, la programmation musicale funk/soul/reggae est vitaminée. ;1 rue Ramey 18e Paris;Bières à 2,50 euros;Tous les jours de 8h à 2h;Métro : Château Rouge;De 18h à 22h.
The Bottle Shop;http://www.timeout.fr/paris/bar/the-bottle-shop;;Ce repaire d’Anglo-Saxons un peu à l’écart de Bastille a le mérite de proposer cinq bières à la pression et une dizaine de bières en bouteille triées sur le volet. Dans ce petit bar intimiste à l’ambiance feutrée, on papote gentiment et on fait connaissance avec ses voisins de comptoir, au-dessus desquels des pochettes de 45 tours de chanteurs français d'une autre époque sont accrochées. On peut tremper ses lèvres dans une savoureuse Edelweiss ou une Kilkenny pression, ou hésiter entre la Pilsner, la Red Stripe ou la Franziskaner en bouteille. Les divins breuvages ne sont pas donnés, mais la rareté et la qualité se payent (4 euros le demi, de 4 à 7 euros les bières en bouteille) et les pintes restent très avantageuses (6,60 euros le verre). Le Bottle Shop propose aussi une trentaine de cocktails classiques entre 7 et 8 euros (on recommande l’excellent et « so british » Bloody Mary). L'happy hour de 17h à 20h est le moment idéal pour les tester : les pintes et les cocktails sont au prix syndical de 4,80 euros.;5 rue Trousseau 11e Paris;4 euros le demi;Tous les jours de 15h à 2h;Métro : Ledru-Rollin ou Faidherbe - Chaligny;De 17h à 20h.
Le Cri du glaçon;http://www.timeout.fr/paris/bar/le-cri-du-glacon;http://media.timeout.com/images/100615635/617/347/image.jpg;"Tendez l'oreille... vous l'entendez ? Le cri du glaçon bien sûr ! On aime bien entendre craquer la glace dans son verre quand il fait bien chaud. En attendant l'été, vous pouvez faire un tour dans ce nouveau bar ouvert il y a quelques semaines dans la rue Jean-Pierre Timbaud , qui pour son lancement propose une happy hour des plus attractives. De 17h30 à 20h30, pour 4 euros, vous avez le choix entre une caïpiroska nature, avec des fraises ou des framboises fraîches, une coupe de champagne ou un ti-punch. De quoi vous sentir riche toute la soirée. La caïpi fraise était franchement bonne, on a mangé les petits fruits qui restaient au milieu des glaçons agonisants, au top. L'ambiance est parfaite pour se mettre en jambe avant de sortir en club : un bar ni trop grand ni trop petit, une bonne musique électro assez forte pour pouvoir danser devant le magnifique comptoir et de jolis abat-jour colorés invitant à se dandiner avec son verre. Les plus calmes iront se poser aux quelques tables collées à un mur en brique apparente. La carte du bar ne se limite pas à trois boissons, bien au contraire : le choix est tellement vaste qu'il faudra revenir plusieurs fois pour prendre ses marques. Les cocktails maison, concoctés avec des alcools de qualité, sont au prix plancher de 9 euros, les cocktails classiques revisités à 8 euros, et la carte en propose dix de chaque. Des compositions assez osées, comme le Killing Kenny, qu'on a envie de commander juste pour son nom (téquila Olméca Gold, liqueur de sureau Saint-Germain, liqueur de framboise, céleri, bitter et vin pétillant), ou le Toreador Ginger Fizz (Pisco, liqueur d'abricot, sirop de vanille, blanc d'œuf, jus de citrons vert et jaune, ginger beer et spray d'absinthe). D'autres cocktails twistés comme le Perfect Manhattan (rye, sweet ou dry Vermouth, twist citron vert) pourront aussi vous tenter. Si vous n'êtes pas très cocktails, le Cri du glaçon a d'autres bouteilles derrière le comptoir, notamment des whiskies, rhums, téquilas, vodkas, gins ou digestifs premium à goûter (entre 7 et 12 euros). Mais aussi des bières à la pression originales  comme la Robus et la Licorne qui viennent d'Alsace, de la bière trappiste Abbaye de Florette et même de la Kriek cerise. En bière bouteille, la liste est très longue : Chouffe, Rince Cochon, Guinness, Kirin, Delirium, Page 24, Pietra, Duval... . Le Cri du glaçon mise donc sur sa carte de cocktails, d'alcools premiums et de bières importées pour se distinguer des autres bars du quartier, plutôt « à l'ancienne » avec de la bière de base et des cocktails classiques ; un renouveau qui pourrait bien faire des émules dans ce bastion de la nuit parisienne. D'ailleurs, un autre bar à cocktails vient tout juste d'ouvrir dans le coin, Joséphine caves parisiennes, qui mise lui aussi sur la qualité de ses produits. ••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••• Pour découvrir d'autres bars référencés par Time Out Paris cliquez ici. •••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••• Pour voir la liste complète des 100 meilleurs bars sélectionnés par Time Out Paris cliquez ici. ••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••• ";74 rue Jean-Pierre Timbaud 11e Paris;cocktails à 8 ou 9 €, 4 € en happy hour, pressions à 3 et 4 euros;Tous les jours de 18h à 2h;Métro : Parmentier, Ménilmontant ou Oberkampf;De 17h30 à 20h30.
La Folie en Tête;http://www.timeout.fr/paris/bar/la-folie-en-tete;http://media.timeout.com/images/100615545/617/347/image.jpg;La Folie en Tête est un bar agréablement situé sur une petite placette sur les hauteurs de la Butte aux Cailles, branché musique du monde. On a envie d'essayer tous les instruments de musique accrochés aux murs, amassés aux quatre coins du globe avant d'être exposés ici. Son ambiance décontractée, ses verres pas chers, sa musique world, rock et jazz agréable et la gentillesse des serveurs attirent des habitués du quartier à toute heure. L’après-midi on s’y sent comme chez soi, tant l'endroit est paisible pour feuiller son journal ou jouer à des jeux de société à disposition. Le soir le volume monte à l'heure de la longue happy hour (17h-20h), on en profite pour boire des pintes au prix du demi, ou goûter des rhums arrangés, le ti-punch maison (sirop de coco, gingembre, bissap-fleur d'oranger-tamarin) ou la caïpi-fresh (caïpiroska aux fruits frais : kiwi, fraise ou framboise) à 5 euros. On peut quelquefois assister à des concerts mais ce bar est assez petit. Concert ou pas, on a vite chaud et le soir, trouver une place assise relève du miracle.;33 rue de la Butte aux Cailles 13e Paris;Bières à 3 euros, cocktails à partir de 6 euros;Du lundi au samedi de 19h à 2h, dimanche de 17h à minuit;Métro : Corvisart ou Tolbiac;De 17h à 20h.
Café Chéri(e);http://www.timeout.fr/paris/bar/cafe-cheri-e;http://media.timeout.com/images/100615581/617/347/image.jpg;Qui ne connaît pas le Café Chéri(e) ? Avec son bar qui colle au coude et ses soirées mémorables passées sous l'aisselle de son voisin à danser, ce bar aux néons rouges est une institution à Belleville. Pas de hype déplacée ici, ça sent la bière et la population est bigarrée : bobos trentenaires, jeunes branchés de l'école d'architecture voisine et vieux loups du quartier s'accrochent au zinc ensemble. On s'y alcoolise de bonne guerre tous les soirs, mais particulièrement pendant l'happy hour de 17h à 20h (les pintes sont à 3,5 euros) et les jeudis, vendredis et samedis, de 22h à 2h, quand un DJ vient faire monter la température avec des sets électro, rock, hip-hop, funk, indé.... Le public n'est pas très difficile, ici on danse sur tout en se tortillant contre le poteau décoré de miroirs brisés au milieu de la pièce, mais en général le son est bon, assez pointu. Passé 22h, l’endroit ne désemplit pas et il faut laisser son manteau à l'intérieur pour ne pas se faire coincer dehors (technique bien rodée) par un videur bien obligé de limiter les entrées.  Le grand atout du Café Chéri(e) reste sa vaste terrasse sur le trottoir, bondée en été du matin au soir.  Le matin, on vient s'enfiler un petit noir en regardant les passants, l'après-midi, les chaises rouges passent en plein soleil, on peut feuilleter tranquillement son journal en bronzant. A l'étage, ne manquez pas les petites expos et les vide-greniers temporaires. •••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••;44 boulevard de la Villette 19e Paris;Entrée libre. Boissons entre 3 et 7 euros;Tous les jours de midi à 2h;Métro : Belleville;De 17h à 20h.
Le Lèche Vin;http://www.timeout.fr/paris/bar/le-leche-vin;;Le Lèche Vin est un bistrot parisien typique qui est vite devenu un lieu de pèlerinage pour ses habitués. Ce n’est pas parce que les murs sont couverts d’images pieuses mais parce qu’il y règne une ambiance agréable et conviviale de « bistrot de papa ». La longue happy hour propose des pintes à 3,8 euros et des cocktails à 6 euros de 16h à 22h. Ici, pas de chorale mais des sons groove, jazz et hip hop pour animer les soirées qui ne finissent pas toujours de manière très catholique. D’ailleurs, il suffit de visiter le coin toilettes — pas de première jeunesse — pour comprendre que l’esprit bigot ne préside pas dans tout le bar. En effet, un décor surprise d’une toute autre nature vous y attend (un conseil pour les âmes sensibles : retenez-vous !)...;13 rue Daval 11e Paris;Prix d'un demi : 2,80 euros;De 18h30 à 2h. Fermé le dimanche;Métro : Bastille;De 16h à 22h.
Le Red House;http://www.timeout.fr/paris/bar/le-red-house-1;http://media.timeout.com/images/100605991/617/347/image.jpg;Bienvenue au Far West ! Le Red House, avec son magistral squelette de tête de taureau qui trône au dessus du bar, a des airs de saloon texan, sauf qu'il est en plein Bastille. Les gringos qui le fréquentent ne sont ni très branchés, ni des garçons-vachers : la foule est bigarrée, jeune, remuante, braillarde et festive. Il faut dire que tous les jours ou presque, un DJ s'occupe de pousser le volume de la musique, bien sentie quelque soit le style : rock, presque punk, funk, électro... les soirées ne se ressemblent pas. Et le bar ne désemplit pas, surtout le week-end, à l'heure de pointe atteindre le zinc est alors un véritable chemin de croix. Heureusement, l'endroit est vaste, articulé autour de deux salles aux poutres apparentes et murs en pierre, qui communiquent mais ont chacune un comptoir, pratique pour faire une percée dans la foule et arriver au Saint Graal : les tireuses... Là où la bière coule à flots. L'atout indéniable du Red House, c'est son happy hour qui s'étire de 17h à 20h : la pinte est à 5 euros et les cocktails maison, préparés avec des alcools rares, à 6 euros. Certains sont un peu trop sucrés mais d'autres sont délicieux, on tire notre Stetson au Wild West Side (téquila, piment, concombre et lime). On peut aussi goûter un Dr Funk#3 (rhum épicé, rhum brun, falernum, lime, bitters, absinthe et grenadine) ou un Red House Flambeau (bourbon, brandy à l'abricot, sirop épicé, citron, gingembre). Jetez également un oeil à la carte des cocktails saisonniers un peu fous, avec cet hiver par exemple, le Fucking Legend (vida Mescal, Chartreuse Jaune, falernum d'hiver, lime et menthe). ;1 bis, rue de la Forge Royale 12e Paris;Demi à 3 euros;Tous les jours de 17h à 2h;Métro : Ledru Rollin, Bastille, Faidherbe- Chaligny;De 17h à 20h.
Le Mo'Town;http://www.timeout.fr/paris/bar/le-motown;http://media.timeout.com/images/100614695/617/347/image.jpg;Tous les nouveaux bars ne sont pas sophistiqués ou branchés, et c'est tant mieux. Le Mo'Town, ouvert fin 2012 par Karim, un patron très jovial toujours prêt à papoter avec ses premiers habitués, est un troquet sans prétention. Des pochettes de vieux vinyles recouvrent tout un coin de la première salle : Brassens et Brel côtoient Aretha Franklin et Marvin Gaye... Un thème vintage qui colle au fond musical, funk, soul et chanson française. On remarque aussi les chaises colorées, et une déco un peu carton-pâte mais très gaie composée d'un grand portique en bois, d'une horloge de gare et les murs en brique apparente. Dans la salle du fond s'isolent ceux qui cherchent la tranquillité pour surfer sur Internet (le wifi est gratuit). Le point fort du lieu : sa grande terrasse bâchée et chauffée, très ensoleillée en été. Au Mo'town, on peut s'asseoir avec ses potes sans lutter pour atteindre le comptoir et les prix sont imbattables. Pendant l'interminable happy hour, de 16h à 22h, la pinte de Jupiler basique est à 3,50 euros, tandis que d'autres pressions vous coûteront 5 euros : la bière allemande Beck's, la blanche Hoegaarden, la Leffe classique et la Leffe rubis aromatisée aux fruits rouges. Les verres de vin (14 cl) méritent également un franc lever de coude : le ballon de rouge côtes du Rhône village, Saint-Emilion ou un bon blanc, bourgogne aligoté ou Sylvaner sont à 3 euros en happy hour. Les copieuses planches de charcuterie et de fromage ne sont pas exceptionnelles mais elles dépannent bien à l'heure de l'apéro (et à 8 euros pièce, on en redemande). Le week-end, des concerts ont lieu le soir, et le dimanche Karim propose une jam de jazz, avis aux amateurs ! ;116 boulevard de Ménilmontant 20e Paris;null;Tous les jours de 10h à 2h;Métro : Ménilmontant ou Couronnes;De 17h à 22h.
Delaville Café;http://www.timeout.fr/paris/bar/delaville-cafe;;Le Delaville Café est immanquable sur les Grands Boulevards lorsqu'il déploie au printemps sa vaste terrasse ensoleillée équipée de brumisateurs. L’endroit est fréquenté par la hype parisienne, fils de pubs, designers, journalistes et « wannabe fashion » qui donnent le ton de l'ambiance, un peu guindée, comme dans tous les bars du coin. La déco arty des multiples salles de ce vaste lieu accueillant est un mélange confus de dorures rococo anciennes et de mobilier post-industriel baroque. Mais quel passé pouvait réconcilier marbre ancien et acier trempé ? Le magnifique Delaville Café était un bordel napoléonien au XIXe siècle, puis un haut-lieu de la gastronomie à la Belle Epoque au tournant du siècle dernier, avant d’être transformé en resto chinois et finalement en café-resto branché. De son faste d’antan, on peut encore admirer l’escalier en marbre et en fer forgé, les colonnades, les plafonds de bois sculptés et les mosaïques dorées du comptoir, très élégantes. Aujourd'hui, sa haute verrière entre la salle et la terrasse est impressionnante, toute lumineuse même en hiver. La salle du fond surprend par sa décadence toute londonienne : banquettes en skaï rouge disco, animaux empaillés et écrans plasma meublent l'espace. Côté restaurant, si la carte cuisine du monde est appétissante et originale (par exemple : poulet aux accents de mangue, curcuma et citronnelle), on est un peu déçu par la saveur des assiettes et par la teneur en sel de la note. Venez-y plutôt pour boire un verre que pour déjeuner ou dîner. Le tiramisu au Nutella est néanmoins excellent. Des sets électro lounge sont mixés par des DJs pas trop bruyants le week-end. Wifi gratuit. Le meilleur moment pour profiter du Delaville Café est sa longue happy hour de 16h à 20h, pendant laquelle la pinte est à 5€, le double mojito ou double caïpi à 8 € et la coupe de champagne à 6€. Oui, ça reste cher, mais pour le standing du bar et du quartier c'est inespéré.;34 boulevard de Bonne Nouvelle 10e Paris;Plats de 13 à 24 euros, brunch le dimanche à 23 euros;Tous les jours de 11h à 2h.;Métro : Bonne Nouvelle;De 16h à 20h.
Le Carillon;http://www.timeout.fr/paris/bar/le-carillon;http://media.timeout.com/images/100615629/617/347/image.jpg;Ni trop bobo, ni trop hipster, ni trop PMU-Rapido, le Carillon est un petit bar de quartier comme on les aime, qui sert des demis à prix réglo et a le charme désuet des anciens troquets. On aime ses boiseries apparentes, son carrelage en mosaïque, ses tables simples et dans le fond quelques canapés de récup’ déglingués mais confortables. Ici les serveurs, gentils et efficaces, ne chipotent pas pour quelques minutes dépassées à la fin de l’happy hour. Pendant ces deux heures bénies (de 18h et 20h), le mojito et la caïpi passent de 6,50 euros au prix imbattable de 4 euros, et la pinte d’Amstel à 3 euros. Si vous arrivez trop tard, consolez-vous avec le rhum arrangé maison à 4,50 euros toute la soirée. Pour les petits creux, on ne pourra que vous recommander la planche de jambon cru espagnol pata negra, à 10 euros, qui s’accompagne très bien d’un verre de Brouilly, Gamay ou Bordeaux à l’ardoise (tous les verres coûtent entre 3 et 4 euros). Le Carillon est très paisible en journée, bercé par le jazz à la papa de TSF Jazz qui passe en fond sonore, bien agréable pour bosser en wifi sur son ordi. En été, sa terrasse ensoleillée se remplit massivement à l’arrivée des apéroteurs, qui le plus souvent ont réservé une table dans l’un des deux restos d’en face, le Petit Cambodge ou la pizzeria Maria Luisa. Certains soirs, des petits concerts de jazz acoustique au fond du bar attirent encore plus de monde que d'habitude, particulièrement le week-end. Il faudra alors squatter le comptoir ou le trottoir avec son verre, à moins d’arriver tôt pour avoir une table. ••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••• Pour découvrir d'autres bars référencés par Time Out Paris cliquez ici. •••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••• Pour voir la liste complète des 100 meilleurs bars sélectionnés par Time Out Paris cliquez ici. •••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••;18 rue Alibert 10e Paris;2,50 euros le demi;Tous les jours de 7h à 2h;Métro : Goncourt, Belleville ou Colonel Fabien;De 18h à 20h.
Le Cyrano;http://www.timeout.fr/paris/bar/le-cyrano;http://media.timeout.com/images/100016415/617/347/image.jpg;Plutôt difficile de trouver un rade sympa place Clichy. Pourtant, dans une petite rue à deux pas du métro se cache un minuscule bar, bistrot d’époque qui au XIXe s’appelait les Porcherons, et dont la déco est intacte depuis 1914 ! On ne se lasse pas de contempler les hauts plafonds, les vitraux en mosaïque, son beau miroir ovale derrière le zinc, les peintures d’artistes du coin exposées là depuis mille ans… Même la clientèle est un spectacle, un mélange de bobos, de comédiens et chanteurs jouant à l'Européen voisin, et de personnages excentriques, punks, hurluberlus, alcooliques, travestis qui font des va-et-vient la journée entre leur travail, leur chez eux et leur quartier général. Des excentriques, le Cyrano en a connu à toutes les époques, puisque c’est ici que se tenaient au début du XXe siècle les séances des surréalistes, sous la présidence d’André Breton, avec Aragon, Man Ray, René Crevel, Max Ernst, Dali, un vrai paradis pour artistes. Dans cet antre, on peut boire un rhum arrangé choisi dans une petite collection, un bon verre de vin et grignoter des tartines et des tapas à l’heure de l’apéro. On profite d'une double happy hour, ceux qui sortent tôt profiteront de la première de 18h à 19h, les autres celle de 22h à 23h. On est deux fois plus heureux ! Seul défaut du Cyrano, mis à part ses toilettes insalubres : le manque de place assise.;3 rue Biot 17e Paris;Bières à 2,50 euros;Du lundi au vendredi de 8h30 à 2h, le samedi de 16h à 2h et le dimanche de 16 à minuit.;Métro : Place de Clichy;De 18h à 19h, et de 22h à 23h.
Le Nul Bar Ailleurs;http://www.timeout.fr/paris/bar/le-nul-bar-ailleurs;http://media.timeout.com/images/100527007/617/347/image.jpg;Ce petit bar caché dans une rue près de Bastille, juste en face du Troll Café, est la seconde maison des habitués du quartier qui mettent une ambiance festive inhabituelle dans ce lieu. L'happy hour de 17h à 21h y est sûrement pour beaucoup. Surtout le week-end, car la cave s’anime et se transforme en dancefloor. Dans ce micro-bar, tout le monde se parle, tout le monde danse, les patrons sont jeunes et encouragent les fêtards à se lâcher. La déco un peu déglinguée est surprenante : au fond, un piano décoratif est suspendu au mur et des trombones font office d’abats-jour. Les consos sont abordables et les cocktails un bon deal : 6 euros le simple ou 10 euros le double. De 18 à 21h, le double est au prix du simple et l’ambiance est particulièrement festive. Une bonne adresse à connaître pour changer des bars qui brassent du touriste rue de Lappe.;18 rue de Cotte 12e Paris;6 euros le cocktail;Du mardi au samedi de 17h à 2h;Métro : Faidherbe - Chaligny ou Ledru-Rollin;De 18h à 21h.
La Maison;http://www.timeout.fr/paris/bar/la-maison;http://media.timeout.com/images/100614719/617/347/image.jpg;Chez Gudule n'est plus, bienvenue à La Maison ! Place à un lieu moins cher, qui mise sur une carte de brasserie à la bonne franquette pour devenir un bar convivial et une cantine abordable. On aime ce lieu de caractère, très lumineux et agréable avec ses grandes portes vitrées en bois sculpté, ouvertes sur la rue en été. Un spot idéal pour feuilleter son journal en buvant son café. Le patron Kamel, également celui de La Gouttière pas très loin, aime la simplicité. Pas de concept particuliers, mais des cocktails à 6,50 euros franchement bons et bien dosés, qui baissent à 5 euros pendant la longue happy hour de 17h à 21h (pour les mojitos et caïpirinhas). On peut aussi opter pour la pinte économique à 4 euros, ou le pastis à 2 euros. Pour éponger tout ça, l'assiette de frites maison vous coûtera 3 euros, c'est réglo. A la Maison, on mange midi et soir une cuisine de brasserie, des plats sans prétention. Le burger accompagné de frites maison (11 euros) est correct, mais à ce prix préférez le tournedos de canard laqué au caramel de framboise (n'hésitez pas à le demander rosé car il peut arriver trop saignant). A midi, les plats proposés commencent à 10,50 euros (comme les brochettes de volaille tandoori aux tagliatelles), un bon compromis pour avaler un vrai repas chaud avec ses collègues sans claquer inutilement. Les vins au pichet sont abordables (15 euros le pichet de 50cl en moyenne).;65 boulevard de la Villette 19e Paris;null;Du lundi au samedi de 7h30 à 2h, dimanche de 9h à 20h;Métro : Colonel Fabien;De 17h à 21h.
Chez Camille;http://www.timeout.fr/paris/bars/chez-camille;;Voilà un bar haut perché sur la face nord de Montmartre qui pourrait devenir votre nouveau QG si vous habitez vers Abbesses. Encore faut-il aller le trouver, à l’écart de la place de l’église, dans la montée qui mène à la place du Tertre au pied d’une petite place plantée de vieux arbres. On se croirait dans un village tant les voitures qui y passent sont rares et l’ambiance relaxante. L’ancienne tenancière Madame Camille a cédé la place à une équipe de jeunes sympas toujours de bonne humeur.;8 rue Ravignan 18e Paris;Pinte de bière à 5,30 euros;null;Métro : Abbesses;De 18h à 21h.
Le Vieux Comptoir du Cap Horn;http://www.timeout.fr/paris/bar/le-vieux-comptoir-du-cap-horn;http://media.timeout.com/images/100604963/617/347/image.jpg;Ce petit bar chilien en plein Marais tranche avec les devantures guindées et le décor baroque du quartier. Caché dans une petite rue adjacente à la place des Vosges, on le repère grâce à son grand drapeau chilien et ses quelques tables en terrasse, très agréables en été. On le distingue aussi par son équipe de serveurs latinos, jeunes, décontractés et souriants et ses prix raisonnables pour le quartier (8 euros le cocktail, 5 euros pendant la longue happy hour de 16h à 20h). On retrouve la chaleur de l'Amérique du Sud dans la convivialité des conversations des Chiliens expatriés à Paris qui s'y retrouvent, dans le fond musical latino et une carte des cocktails exotique : pina colada, cuba libre, punch coco et bien sûr caipirinha et mojitos. Mais les stars du bar sont les cocktails préparés à base de pisco, une eau-de-vie de raisin fabriquée dans la vallée de l'Elqui au Chili à partir du moscatel, que l'on retrouve dans la piscola (pico, jus de citron, coca) ou le pisco sour (pisco, jus de citron, sucre). Pour ne pas trop se laisser griser par l'alcool, on peut grignoter quelques empanadas ou des calamars, rien d'exceptionnel mais de quoi caler son estomac pour 5 ou 8 euros. Le week-end, des petits groupes de musique sud-américaine viennent pousser la chansonnette dans la bonne humeur. Le 18 septembre, on y célèbre joyeusement la fête nationale chilienne.;8 rue de Birague 4e Paris;Cocktails à 8 euros;Tous les jours de 10h à 1h;Métro : Bastille ou Saint-Paul;De 16h à 20h.