name;address;description;image;link;contact;likes
La Salle Wagram;37 avenue de Wagram, 75017, Paris, France;"Salle mythique vers la fin des années 90's, et ce jusqu'au début des années 2000, la Salle Wagram a pu accueillir les plus grandes soirées étudiantes ou clubbing de Paris, comme les fameuses soirées TGV.
La Salle Wagram a été entièrement rénovée et a réouvert il y a peu de temps. Elle a conservé ses décors d’antan, et à profité de sa rénovation pour intégrer les équipements techniques de dernière génération. Elle est désormais destinée à accueillir des congrès ou autres réceptions privées.
La Salle Wagram est classée monument Historique";http://a2.parisbouge-res.cloudinary.com/image/upload/s--c8EmCLIu--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/hi0lddii2jvaz1ul8hr2.jpg;http://www.parisbouge.com/place/1;;118
Le Back Up;18 rue de la Croix Nivert, 75015, Paris, France;Le BackUp est une salle événementielle située en plein cœur du 15ème arrondissement, à quelques pas des Champs Elysées. Lieu incontournable de la nuit parisienne, le BackUp est une salle souvent louée pour des rallyes ou des soirées étudiantes, mais elle est également disponible pour tous types d'événements privés ou professionnels. Pour être au courant des prochains événements qui auront lieu au BackUp, pensez à consulter l'agenda de ParisBouge.com.;http://a3.parisbouge-res.cloudinary.com/image/upload/s--cF_yex44--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/vjfqjp8rytzfo46fvyuy.jpg;http://www.parisbouge.com/place/2;147832617;234
L'Hôtel InterContinental Paris - Avenue Marceau;64 avenue Marceau, 75008, Paris, France;Situé en plein cœur du 8ème arrondissement et à quelques pas des Champs Elysées, l'Hôtel InterContinental Paris - Avenue Marceau est un espace de convivialité où la décoration mêle art et design pour le plus grand plaisir des yeux. Le restaurant de l'Hôtel InterContinental Paris - Avenue Marceau, le M64, propose une cuisine française contemporaine avec une carte rassemblant une quinzaine de suggestions. La réservation du restaurant est conseillée.;;http://www.parisbouge.com/place/3;144433636;42
La Loco;90 boulevard de Clichy, 75018, Paris, France;"La loco est désormais connu sous le nom de ""La machine du moulin rouge""";;http://www.parisbouge.com/place/5;;528
L'Elysée Montmartre;72 boulevard Rochechouart, 75018, Paris, France;L'Elysée Montmartre, situé dans le 18ème arrondissement parisien, est une ancienne salle de boxe recyclée en salle de concerts, et désormais devenu un des nouveaux temples de la nuit parisienne. Des soirées étudiantes aux soirées de clubbers, on a vu les plus grands de la capitale y passer. Open House, Panik, DeLaHouse, Magic Garden ... L'Elysée Montmartre organise un samedi sur 2 son bal, soirée Kitch avec Dj & Grand Orchestre.;;http://www.parisbouge.com/place/6;142234650;606
La Scène;16 rue Linois, 75015, Paris, France;L'Aquarium cherche à séduire une nouvelle clientèle plus tendance clubbing et branchée et a donc changé de nom pour la Scène.;;http://www.parisbouge.com/place/7;145778080;176
Les Bains;7 rue du Bourg-l'Abbé, 75003, Paris, France;"Après des années de fermeture, l’hôtel Les Bains se situe au 7 rue du Bourg-l’Abbé, à quelques rues du Centre Pompidou dans le 3ème arrondissement de Paris. Les Bains, c’est également un restaurant, un bar et un club, à la fois bohème et élégant, transculturel et inventif, ouvert 24h/24 rien que pour vous.
L'hôtel Les Bains est ouvert en permanence.";http://a1.parisbouge-res.cloudinary.com/image/upload/s--YnIdByh6--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/wnkwmsbxix180ydgsssd.jpg;http://www.parisbouge.com/place/8;148870180;266
Le Bus Palladium;6 rue Pierre Fontaine, 75009, Paris, France;Le Bus Palladium compile resto américain, boîte de nuit, salon privé et salle de concerts. Ce lieu est une véritable institution depuis sa création en 1965. La déco du Bus Palladium a gardé son côté rétro avec des murs tapissés de velours et des banquettes en cuir rouge. Côté concerts, la musique est rock au Bus Palladium, les meilleurs groupes des années 80 s’y sont retrouvés pour tourner des clips ou donner des soirées.;http://a1.parisbouge-res.cloudinary.com/image/upload/s--uGpsV0qS--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/xugn2jcpuzwh7aam5nyg.jpg;http://www.parisbouge.com/place/9;145268035;121
Le Duplex;2 bis avenue Foch, 75116, Paris, France;"Situé à quelques pas de l'Arc-de-Triomphe, le club Le Duplex rassemble deux grandes salles et une plus petite. On y retrouve une ambiance musicale plutôt généraliste, avec un style différent pour chacune des salles, en particulier pendant les soirées du week-end : house, disco, groove, ... Le Duplex mêle les styles de musique et dispose d'une discothèque, d'un bar et d'un restaurant.
Le club Le Duplex est ouvert tous les jours, de 23h à 6h du matin.";http://a5.parisbouge-res.cloudinary.com/image/upload/s--kZP5eDY2--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/hiidfgp6mtcb6cjpatmu.jpg;http://www.parisbouge.com/place/10;145004500;502
Les Planches;40 rue du Colisée, 75008, Paris, France;"Situé en plein cœur du 8ème arrondissement parisien, le club Les Planches est un club généraliste.
Alors roulez Jeunesse, et avec le coupé de papa, voici Les Planches, la boîte de la jeunesse dorée de Paris. N'oubliez pas la veste et oubliez les baskets, ""Auteuil-Neuilly-Passy"", voilà la boîte de nuit de ton ghetto !";http://a2.parisbouge-res.cloudinary.com/image/upload/s--_dzsf2QB--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/drqxdbgvmd7vhotuyp8n.jpg;http://www.parisbouge.com/place/12;142251168;208
Le Queen;102 avenue des Champs Elysées, 75008, Paris, France;"Situé sur les Champs Elysées le club Le Queen, l'ex-spot gay mythique a connu son âge d’or de 1993 à 1996, époque durant laquelle son directeur artistique était David Guetta. A présent reconverti en club plutôt généraliste et populaire, Le Queen accueille une clientèle majoritairement hétérosexuelle, jeune et populaire. Pour information, Le Queen accepte les réservations.
Le Queen est ouvert tous les jours de 23h30 à 6h30.";http://a2.parisbouge-res.cloudinary.com/image/upload/s--3nk3PPZn--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/jj1v8ylxa3nwuf4ykgsq.jpg;http://www.parisbouge.com/place/13;153890890;735
Le Rancho;56 avenue ganipote, 17420, Saint Palais sur mer, France;"Situé à quelques kilomètres de Royan, à Saint-Palais-sur-Mer, le club Le Rancho dispose de trois salles, de trois ambiances, et de six bars. Une bonne partie du Rancho se situe en plein air. Un endroit idéal pour les noctambules ou les fêtards qui souhaitent danser toute la nuit et rencontrer des personnes aimant les sorties clubbing !
Le Rancho est ouvert tous les jours, de 23h30 à 7h du matin.";;http://www.parisbouge.com/place/14;546231329;35
Le Forum de Grenelle;5 rue de la Croix Nivert, 75015, Paris, France;Située dans le 15ème arrondissement parisien, Le Forum de Grenelle est une salle bien habituée à recevoir des soirées étudiantes. Elle n'est pas chère à la location, ce qui permet d'organiser des soirées à des prix raisonnables. Le Forum de Grenelle possède une surface totale de 700 mètres carrés, avec une hauteur sous plafond de 5 mètres pour une capacité d'accueil de deux cents à sept cents personnes.;http://a1.parisbouge-res.cloudinary.com/image/upload/s--vrch4OOn--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/dbgamjnjtzafq5qokyuu.jpg;http://www.parisbouge.com/place/16;143067008;35
L'ESSEC;avenue bernard hirsch, 95021, Cergy-Pontoise, France;L’ESSEC (École Supérieure des Sciences Économiques et Commerciales) est une grande école de commerce et de gestion fondée en 1907, dont le campus principal se trouve depuis 1973 à Cergy, en région parisienne. Elle est aussi présente à Paris et Singapour. Une très forte communauté associative anime les soirées étudiantes au sein de l'ESSEC, notamment les jeudis soirs, et en organise même hors les murs.;http://a3.parisbouge-res.cloudinary.com/image/upload/s--INAv-NQi--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/fwfaw4okijncnxowejte.jpg;http://www.parisbouge.com/place/17;;23
Le Hammam Club;94 rue d'amsterdam, 75009, Paris, France;"Situé dans le 9ème arrondissement parisien et ouvert depuis 1998, Le Hammam Club a su se forger une image de discothèque branchée toujours à la pointe des derniers sons Raï, Oriental House, R’NB, Dance All, Hip Hop et généraliste.
Le Hammam Club de par sa capacité ni trop grande ni trop petite et sa décoration orientale branchée a un charme unique sur Paris.Notre jeune clientèle vient au Hammam Club pour passer une soirée agréable dans une ambiance toujours conviviale et festive.
Le Hammam Club est ouvert du jeudi au dimanche de minuit à l’aube. Tous les jeudis, des chanteurs et des DJs de Raï viennent au Hammam Club animer la soirée.";;http://www.parisbouge.com/place/19;155078000;43
La Scala;188 bis, rue de rivoli, 75001, Paris, France;"Etablissement fermé. C'est devenu le VIP Room Thater.
La Scala est un club populaire le week-end, mais qui peut devenir en semaine l'endroit le plus branché, le temps d'un soir ou bien d'un regroupement d'étudiants en soirée d'intégration, surveillez donc l'agenda de La Scala ! Avec plusieurs salles sur plusieurs étages et une décoration digne d'un film avec Belmondo ou Delon, La Scala est un lieu incontournable.";;http://www.parisbouge.com/place/21;149260115;182
Le Club Med World;39, cour saint émilion, 75012, Paris, France;"Définitivement fermé
Selon les soirs, vous y trouverez des soirées house, des soirées R'n'B ou bien des soirées généralistes. Attention, même si le nom est le même, cet endroit n'a rien à voir avec les soirées que l'on peut vivre en vacances au Club Med.";;http://www.parisbouge.com/place/23;;185
Le Saint;7, rue saint severin, 75005, Paris, France;"Située en plein cœur du 5ème arrondissement parisien, la boîte de nuit Le Saint est une petite boîte populaire de quartier à tendance généraliste, qui se cache dans les caves du quartier de Saint-Michel. Chez Le Saint, nous sommes très éloignés du Paris branché et bling-bling ; avis à tous ceux qui en ont marre du m'as-tu-vu et qui aiment passer des soirées discrètes et simples, tout en s'amusant.";http://a3.parisbouge-res.cloudinary.com/image/upload/s--JSImfOJ_--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/iy8d4grvlsw0o0o3tnx5.jpg;http://www.parisbouge.com/place/25;143255004;89
Le Concorde Atlantique;23, quai Anatole France, 75007, Paris, France;"Le bateau Concorde Atlantique est une des salles les plus réservées par les organisateurs : 2 salles + 1 terrasse, forcément ca donne envie, surtout l'été. Bien que ce bateau soit un des endroits les plus branchés de l'été avec les soirées Respect, Eté d'amour le mercredi, les After Works Métro Boulot Bateau le jeudi et les Terrassa le dimanche, on peut noter plusieurs points faibles sur la péniche Concorde Atlantique : il fait chaud à l'interieur l'été, et l'hiver on y retrouve souvent des soirées étudiantes.
Attention : parfois 2 soirées le même soir, une dans la salle du bas, une dans la salle du milieu, ne vous trompez pas de soirée !";http://a4.parisbouge-res.cloudinary.com/image/upload/s--DqwXLOLf--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/tk9yqokwq5goct1rvh4p.jpg;http://www.parisbouge.com/place/33;147057103;919
Glazart;7, avenue de la Porte de la Villette, 75019, Paris, France;Situé dans le 19ème arrondissement parisien, à la porte de la Villette, Glazart est à la fois une salle de concerts et un club. Autrefois vieil entrepôt, Glazart a été aujourd'hui remodelé en salle de spectacles pluri-disciplinaires, véritablement orientée musique avec les nombreux concerts qu'elle accueille, et habituée à une programmation éclectique qui ravit tous les Parisiens et clubbers noctambules.;http://a4.parisbouge-res.cloudinary.com/image/upload/s--CtGkCXPo--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/upli8xfmqilwssuxgff4.jpg;http://www.parisbouge.com/place/34;140365565;121
la Serena;92, rue de Richelieu, 75002, Paris, France;"Vous avez une soudaine envie de soleil, de corrida et de mojitos, n’hésitez plus, c’est à la Séréna que ça se passe ! Dans ce pub, les origines espagnoles des tenanciers sont fièrement revendiquées. Affiches de corridas, murs de couleur rouge et musiques caliente sont les maîtres mots au Séréna ! Les mojitos sont à 6 € et c’est une spécialité de la maison. Côté ambiance, Séréna est un bar où habitués, étudiants et curieux se rassemblent pour s’amuser sans prise de tête. 
Le Séréna ouvre du lundi au jeudi de 11h à 02h, le vendredi de 11h à 05h et le samedi de 21h à 05h.";;http://www.parisbouge.com/place/37;142961117;28
la Péniche Le Club;1068, quai Carnot, 92210, Saint Cloud, France;"Péniche qui accueille différents types de public selon les soirées qui vont du hip-hop aux soirées ""minets-minettes"" en passant par le style ""étudiant"".
Sur 2 niveaux.
Pour y accéder, c'est plus compliqué :
La Défense, tramway ligne T2 direction Issy - Val-de-Seine, station : Les Coteaux
ou 
métro ligne 10 : Boulogne / pont de Saint-Cloud.
Par le tramway, c'est vraiment le plus rapide.";;http://www.parisbouge.com/place/42;;62
L'Abracadabar;123 rue Jean Jaurès, 75019, Paris, France;"Ça groove à l’Abracadabar ! Réouvert en janvier 2013, le bar-concerts l’Abracadabar a fait peau neuve et vous propose des concerts différents tous les soirs suivis par des DJ sets dès 22h30. Au programme : du jazz, du rock, de la drum’n bass, du rock et plein de groupes à découvrir !
En parallèle, l’Abracadabar organise régulièrement des expositions, des scènes entre le théâtre et la poésie, des projections de courts métrages, ainsi que des soirées pour recueillir des fonds pour les associations humanitaires. 
L’Abracadabar ouvre ses portes du mardi au samedi de 18h30 à 02h00.";;http://www.parisbouge.com/place/45;142031804;39
Le Dancing de la Coupole;102 boulevard du Montparnasse, 75014, Paris, France;"Situé en plein cœur du 14ème arrondissement parisien, au 102 boulevard du Montparnasse, Le Dancing de la Coupole est entre autres connu pour ses grandes soirées festives. L'ambiance électrique qui règne autour des soirées ""années folles"" ravit les noctambules parisiens en quête de soirées thématiques qui les plongent dans l'atmosphère et la musique d'une autre époque... 
Le Dancing de la Coupole est ouvert du lundi au vendredi, de 8h à 14h30 et de 18h30 à minuit (23h le lundi) ainsi que les samedis, dimanches et jours fériés avec un service continu de 8h30 à minuit (23h le dimanche).";http://a3.parisbouge-res.cloudinary.com/image/upload/s--5tMpJ9h_--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/q3oejohq1cobgyf0fjve.jpg;http://www.parisbouge.com/place/46;143275600;93
Le Barramundi;3, rue Taitbout, 75009, Paris, France;"Entre restaurant, bar lounge et club, entre Afrique et Asie, dans un décor à la fois chic et branché, le Barramundi vous propose un voyage ambitieux, à deux pas de l'Opéra Garnier. Le Barramundi vous propose tous les samedis soir après le restaurant des soirées clubbing généralistes telles que la soirée 100% Dancefloor ou la soirée Wiz Me ! Venez fêter vos anniversaires et enterrements de vie de jeune fille/garçon : formule dîner + accès au Club et vestiaire offert à seulement 50€ !!!
Le Barramundi est ouvert du lundi au vendredi de 12h00 à 15h30 et de 18h30 à 02h, le samedi de 19h00 à 05h00.";http://a1.parisbouge-res.cloudinary.com/image/upload/s--ZAgRqP2L--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/noccth1cowtlzsoyaeke.jpg;http://www.parisbouge.com/place/47;147702121;31
Le Globo;8, Bd de Strasbourg, 75010, Paris, France;"Nichée dans le 10ème arrondissement, la bodega Le Globo vous accueille pour faire la fiesta, danser et partager un bon repas avec des amis. Dans sa grande salle rouge, Le Globo met à votre disposition des fauteuils confortables pour vous asseoir après vous être déhanchés sur la piste. Endroit convivial et chaleureux, Le Globo propose une programmation musicale éclectique qui conviendra à tous. Le Globo, c’est l’esprit des bodegas du sud et de l’Espagne.
Le Globo est ouvert le vendredi et le samedi de 23h00 à 05h30.
Le Globo propose une formule tout compris à 85€.";http://a5.parisbouge-res.cloudinary.com/image/upload/s--vK4_2C4F--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/dqgoox5p1ck4tgwo6qbg.jpg;http://www.parisbouge.com/place/54;142415570;34
Le Rex Club;5, boulevard Poissonnière, 75002, Paris, France;"Une soirée en compagnie d’un bon DJ ça vous branche ? Alors filez au Rex Club dans le II ème arrondissement. Dans ce club l’ambiance est tout simplement survoltée jusqu’au petit matin. Aux platines, les DJ’s français et internationaux parmi les plus reconnus du monde comme Jeff Mills, Miss Kittin et Laurent Garnier défilent derrière les platines. Il est à noter également que le Rex Club dispose d’un des meilleurs soud-systems de la capitale.
Le Rex Club ouvre de mercredi à samedi de 23h30 à 07h00.";http://a5.parisbouge-res.cloudinary.com/image/upload/s--rjNVXY5C--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/cra4olcjmtm24r9lhroa.jpg;http://www.parisbouge.com/place/57;142361096;736
Le Scorp;25, boulevard Poissonnière, 75002, Paris, France;Le Scorp n'existe plus.;;http://www.parisbouge.com/place/58;140262830;24
Chez Castel;15, rue Princesse, 75006, Paris, France;"Situé en plein cœur du 6ème arrondissement, dans le quartier chic de Saint-Germain-des-Prés, le restaurant Chez Castel reflète une ambiance « comme à la maison ». Véritable institution parisienne, Castel était le club branché de la génération Baby-Boom, aujourd'hui c'est tout autre chose. Le restaurant reste encore correct, y boire un verre pourquoi pas, mais pour y faire la fête, il faudra vous tourner vers une autre adresse.
Le restaurant Chez Castel vous accueille de 21h à 1h du matin et le club Chez Castel, de 23h jusqu'à l'aube.";http://a1.parisbouge-res.cloudinary.com/image/upload/s--Uatu7-Ob--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/imtds7qfgepn2jy1g1ig.jpg;http://www.parisbouge.com/place/59;140515280;33
le Buddha Bar;8, rue Boissy d'Anglas, 75008, Paris, France;"Le Buddha Bar est une des pierres angulaires de la galaxie des Costes. Ce bar restaurant à la décoration atypique a su attirer et garder une clientèle aisée et exigeante. Le Buddha Bar s’étend sur deux espaces, celui de la mezzanine consacrée aux adeptes de cocktails exotiques et celui de la salle du bas pour se restaurer. Au milieu de la pièce trône une gigantesque statue de Buddha (5 x 8 m) qui a donné son nom au lieu. Côté assiettes, le chef vous propose une cuisine à tendance exotique. 
Le Buddha Bar est ouvert du lundi au vendredi de 12h à 02h et le samedi et le dimanche de 16h à 02h.
Compter entre 60 € et 95 € pour un menu au Buddha Bar.";;http://www.parisbouge.com/place/65;153059000;207
le Vip Room;76/78, avenue des Champs Elysées, 75008, Paris, France;"Etablissement fermé.
Retrouvez le Vip Room désormais rue de Rivoli.";;http://www.parisbouge.com/place/67;156691669;210
Le Folies Pigalle;11, place Pigalle, 75009, Paris, France;"Le Folies est par son histoire encore un haut-lieu de la house parisienne, des soirées toute la semaine sauf les lundis. After samedi et dimanche matin dès 6h. Ambiance assez folle et ""trashy"", on retrouve souvent des performers habillés avec beaucoup d'originalité, des drags, des bi, des trans ... Le Folies c'est extravagant ! Depuis Mars 2009, nouvelle direction pour le Folies, plus classique et des Djs internationaux au programme.";;http://www.parisbouge.com/place/68;148782526;218
Le Gibus;18, rue du Faubourg du Temple, 75011, Paris, France;Situé entre les quartiers de République et du Marais, dans le 11ème arrondissement parisien, Le Gibus est une salle de concert et également un club. C’est dans un esprit festif que Le Gibus propose, pour ceux qui ont soif de découverte et de nouveaux talents, des soirées variées allant du concert de rock à la pop alternative en passant par des événements clubbing. Pour en savoir plus, rendez-vous au 18 rue du faubourg du temple pour passer une soirée digne d'un vrai Parisien !;http://a5.parisbouge-res.cloudinary.com/image/upload/s--e79Xukcu--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/p5serehrh7hv9pbajbyy.jpg;http://www.parisbouge.com/place/72;147007888;383
le Studio 287;33 avenue de la porte d'Aubervillier, 75018, Paris, France;Le Studio 287 club est définitivement fermé.;;http://www.parisbouge.com/place/74;;451
Le Nouveau Casino;109, rue Oberkampf, 75011, Paris, France;Situé en bas de la rue Oberkampf, à quelques mètres seulement de la Place Verte dans le 11ème arrondissement parisien, Le Nouveau Casino est une salle de concerts et surtout un club à tendance électro, qui accueille beaucoup de nouveaux talents ou des pointures underground. Un lieu idéal pour les clubbers qui ne savent pas où finir leur soirée après avoir été boire un verre rue Oberkampf et les noctambules en soif de musique.;http://a1.parisbouge-res.cloudinary.com/image/upload/s--Yt9SFzRY--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/zntxo9iktnq3hukiajlx.jpg;http://www.parisbouge.com/place/79;;251
Le Divan du Monde;75, rue des Martyrs, 75018, Paris, France;"Situé dans le 18ème arrondissement parisien, rue des Martyrs, Le Divan du Monde est une petite salle parmi tant d'autres ancrée dans le quartier de Pigalle qui accueille concerts et soirées. En plein cœur d'un quartier animé jour et nuit, Le Divan du Monde est le spot idéal assimilable à un point de chute des noctambules parisiens et touristes en soif de fête. 
Le Divan du Monde dispose d'une programmation vaste et adaptée à tous les goûts et toutes les envies... à surveiller sur ParisBouge.com.";http://a3.parisbouge-res.cloudinary.com/image/upload/s--XrbqBr8J--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/exvaevun0xx7lnfewqxi.jpg;http://www.parisbouge.com/place/83;;67
Les Caves Saint-Sabin;50, rue Saint Sabin, 75011, Paris, France;Situées dans le 11ème arrondissement parisien, rue Saint-Sabin, Les Caves Saint-Sabin sont de belles caves voûtées dans le vieux Paris du XVIIe siècle qui accueillent souvent des soirées gothiques et parfois des soirées un peu plus classiques. Surveillez l'agenda de ParisBouge.com pour voir ce qui se passe aux Caves Saint-Sabin : les noctambules parisiens se réjouiront de cette salle à l'aspect authentique, tout en sirotant un verre ou en s'amusant.;http://a3.parisbouge-res.cloudinary.com/image/upload/s--K7roNPau--/c_fill,fl_progressive,h_200,w_200/f_auto,q_80/cju9m2a4neiu6qiok9aa.jpg;http://www.parisbouge.com/place/84;;84
Le Cab;2, place du Palais Royal, 75001, Paris, France;"Etablissement fermé
Le restaurant-club, Cabaret, plus connu sous le nom de Cab a été entièrement imaginé par Ora-Ïto (célèbre designer français). Le but recherché par les propriétaires : créer une atmosphère unique ! Et il faut l’avouer, niveau déco, le challenge a été brillamment relevé : la combinaison des formes est frappante, les couleurs et les textures se mélangent pour créer une ambiance digne d’un autre univers. 
Au premier étage du Cab, le restaurant est discret et sobre, parfait pour les déjeuners d’affaires. Au menu, une cuisine simple et traditionnelle. Quant au sous sol, on y trouve le club dans lequel la programmation oscille entre house et R'n'B. Le club accueille une clientèle éclectique et principalement étrangère. Le Cab est à découvrir en premier lieu pour son design extraordinaire.";;http://www.parisbouge.com/place/92;158625625;368
